combo_id,seed,n,K_true,K_learn,s_true,s,N,noise_std,missing_frac,n_iter,als_iters,masked_rmse_initial,masked_rmse_final,baseline_rmse_initial,baseline_rmse_final,full_rmse_masked,full_rmse_baseline,coherence_masked,coherence_baseline,avg_nnz_masked,avg_nnz_baseline,improvement_masked_pct,improvement_baseline_pct,final_gap_pct
cfg001,69,20,50,40,3,2,500,0.15,0.3,15,8,0.21292388004716584,0.16957947672726353,0.2331486073917229,0.19895357336835529,0.32021505518045923,0.2724778535128495,0.6660084358461974,0.6164784524318015,2.0,2.0,20.35676003569955,14.666625894065533,14.76429708890259
cfg002,69,20,50,40,3,2,500,0.15,0.3,15,15,0.21292332951422532,0.16815457377815896,0.2331484387199428,0.19895357344487025,0.30686288385166,0.27247785375210565,0.6778486142694192,0.6164784541633468,2.0,2.0,21.025763516944906,14.666564126619496,15.48049584303931
cfg003,69,20,50,40,3,2,500,0.15,0.3,30,8,0.21292388004716584,0.16600257258638745,0.2331486073917229,0.1977892048284745,0.33466352601884636,0.2715434567022805,0.6857687041480514,0.5974545604460579,2.0,2.0,22.03665810071872,15.166036357163204,16.070964170998536
cfg004,69,20,50,40,3,2,500,0.15,0.3,30,15,0.21292332951422532,0.16458277991931422,0.2331484387199428,0.19778920487114648,0.302281547149225,0.27154345677022584,0.6719622043651302,0.5974545611300355,2.0,2.0,22.703265868140342,15.16597496553247,16.788795411491353
cfg005,69,20,50,40,3,3,500,0.15,0.3,15,8,0.17366396276898835,0.1264182021412005,0.19968408548715524,0.16134671226764116,0.3060541751959983,0.25574981548901915,0.6581053468809074,0.6547435157656173,3.0,3.0,27.20527614047089,19.199012843705134,21.648107752267933
cfg006,69,20,50,40,3,3,500,0.15,0.3,15,15,0.17366379902983267,0.1268281775399238,0.19968398279450428,0.16134671211961624,0.30398280021488006,0.25574981548932285,0.6480401267838459,0.6547435158829733,3.0,3.0,26.969133320562268,19.19897136383798,21.39401176895488
cfg007,69,20,50,40,3,3,500,0.15,0.3,30,8,0.17366396276898835,0.12299549064449951,0.19968408548715524,0.15880575027285915,0.3079530204231471,0.2538616611387446,0.6793119898891745,0.631008672786764,3.0,3.0,29.1761579757852,20.471503832950976,22.549724784417847
cfg008,69,20,50,40,3,3,500,0.15,0.3,30,15,0.17366379902983267,0.123847251858034,0.19968398279450428,0.15880575026550112,0.2992855574600684,0.2538616611333754,0.6404734645502337,0.6310086727878197,3.0,3.0,28.685625588117524,20.471462937050454,22.01337064244927
cfg009,69,20,50,40,3,4,500,0.15,0.3,15,8,0.14009844654990397,0.09995895834150069,0.1705267054256643,0.13070746385992082,0.32115061208136736,0.24389339473281943,0.5909120874299683,0.6178377790855137,4.0,4.0,28.65091597864744,23.35073645289032,23.524674575105596
cfg010,69,20,50,40,3,4,500,0.15,0.3,15,15,0.1400983402893309,0.09872916620249621,0.1705266972210784,0.13070746386066673,0.3165398180043375,0.2438933947318238,0.5661036659431666,0.6178377790685602,4.0,4.0,29.528668220764885,23.350732764611195,24.46554826605707
cfg011,69,20,50,40,3,4,500,0.15,0.3,30,8,0.14009844654990397,0.09548171252920666,0.1705267054256643,0.12878675520624996,0.31227238104661076,0.2435221666302751,0.5717467023699985,0.6449346494502176,4.0,4.0,31.846701458466598,24.477075373751088,25.860611693885605
cfg012,69,20,50,40,3,4,500,0.15,0.3,30,15,0.1400983402893309,0.09711286493923277,0.1705266972210784,0.12878675520543326,0.31791541630780784,0.24352216663157905,0.5858846118193907,0.6449346494251591,4.0,4.0,30.68235873553148,24.477071740580094,24.594058772329586
cfg013,69,20,50,50,3,2,500,0.15,0.3,15,8,0.19065173541502675,0.15260718264816714,0.21624897621795555,0.18512111298315595,0.2999929259222761,0.2632078080410686,0.7101147888042073,0.7381678847014257,2.0,2.0,19.95499945701571,14.394455770013026,17.56359920866899
cfg014,69,20,50,50,3,2,500,0.15,0.3,15,15,0.19065426110642839,0.152607181200135,0.21625947188427574,0.18365308728520005,0.29999292200935435,0.26089690543657396,0.7101146320467604,0.7145713882086938,2.0,2.0,19.95606061227998,15.077436523346332,16.904646986332985
cfg015,69,20,50,50,3,2,500,0.15,0.3,30,8,0.19065173541502675,0.15109057144123647,0.21624897621795555,0.1839348598515953,0.2934298759778386,0.2623123053989353,0.7235513613189909,0.7720513639519941,2.0,2.0,20.750487210446945,14.943014728444826,17.85647834067924
cfg016,69,20,50,50,3,2,500,0.15,0.3,30,15,0.19065426110642839,0.15109057128671644,0.21625947188427574,0.18241296041707933,0.29342998401361603,0.2615304870591967,0.7235512362642027,0.751046177368862,2.0,2.0,20.751537149031474,15.650880478108387,17.17114236770546
cfg017,69,20,50,50,3,3,500,0.15,0.3,15,8,0.15179853614750105,0.11353096055002364,0.18175553666577884,0.14733329263349934,0.30107399362417175,0.2509732832473814,0.6708178093748567,0.6938818153373771,3.0,3.0,25.20944968816643,18.93875953587969,22.94276567045922
cfg018,69,20,50,50,3,3,500,0.15,0.3,15,15,0.1517985458921228,0.11409671055516846,0.18175573485679597,0.14733329262684272,0.30670788602834226,0.2509732832280315,0.688226143570842,0.6938818146689214,3.0,3.0,24.836756581151665,18.93884793075412,22.558772344723177
cfg019,69,20,50,50,3,3,500,0.15,0.3,30,8,0.15179853614750105,0.11038822503722906,0.18175553666577884,0.14577689577676856,0.3012413702728263,0.24895397706509106,0.5850952613064152,0.7285581837422087,3.0,3.0,27.279782902539996,19.795072848410456,24.27591186584942
cfg020,69,20,50,50,3,3,500,0.15,0.3,30,15,0.1517985458921228,0.10987316821332828,0.18175573485679597,0.14577689577139075,0.300924924063932,0.24895397706896513,0.7221843218958551,0.7285581836596241,3.0,3.0,27.619090441478424,19.795160308835747,24.62923041959074
cfg021,69,20,50,50,3,4,500,0.15,0.3,15,8,0.1191910560661008,0.0843238235901088,0.15381557280520572,0.11956296126189028,0.3019324475845591,0.23975034622442387,0.6859934897997801,0.698627523454332,4.0,4.0,29.253228913967654,22.268623988218305,29.47328947013431
cfg022,69,20,50,50,3,4,500,0.15,0.3,15,15,0.11919106246328999,0.08390258127726181,0.15381557832321896,0.11956296126449556,0.3046717090348198,0.23975034622892258,0.6808473758014291,0.6986275234535078,4.0,4.0,29.60665041214544,22.268626775076694,29.82560787227939
cfg023,69,20,50,50,3,4,500,0.15,0.3,30,8,0.1191910560661008,0.08137375419563583,0.15381557280520572,0.11837635086633348,0.2976416802724541,0.23871454583906668,0.6785806535048149,0.6065759200217533,4.0,4.0,31.72830505796702,23.040074091687046,31.258436672439505
cfg024,69,20,50,50,3,4,500,0.15,0.3,30,15,0.11919106246328999,0.0799502829951641,0.15381557832321896,0.11837635086258724,0.3013666244905303,0.23871454583753776,0.6839128578866462,0.6065759197748612,4.0,4.0,32.9225855170238,23.04007685499958,32.460932937549835
cfg025,69,20,50,60,3,2,500,0.15,0.3,15,8,0.1878596585980448,0.14298279014067897,0.20998314636027499,0.17575109676732525,0.30893826604018765,0.25966343515327406,0.6759006364583694,0.7073746151998551,2.0,2.0,23.888507406152016,16.302284343438057,18.644723833517716
cfg026,69,20,50,60,3,2,500,0.15,0.3,15,15,0.18787749796305506,0.14478947168794395,0.20998395616900098,0.17575109137199627,0.3736556251632064,0.25966342680995236,0.7111308244224875,0.7073745662988166,2.0,2.0,22.934106927261766,16.30260969531079,17.616743908872056
cfg027,69,20,50,60,3,2,500,0.15,0.3,30,8,0.1878596585980448,0.13925345207682557,0.20998314636027499,0.1756454770219946,0.31199989920332794,0.25952794368270804,0.6804233912778844,0.6967834502182407,2.0,2.0,25.873679790518423,16.35258349704225,20.719021953871298
cfg028,69,20,50,60,3,2,500,0.15,0.3,30,15,0.18787749796305506,0.14286225934846614,0.20998395616900098,0.1756454770816855,0.32089819614940696,0.2595279436557511,0.7238255471069488,0.6967834514364935,2.0,2.0,23.95988827967088,16.35290605710795,18.664424656931665
cfg029,69,20,50,60,3,3,500,0.15,0.3,15,8,0.14620419333467896,0.10490200530120558,0.17454536027758621,0.1370539312203395,0.3138724349773392,0.24526356799531404,0.7352112949438507,0.6236007924633822,3.0,3.0,28.24966034929498,21.47947616460424,23.45932410172442
cfg030,69,20,50,60,3,3,500,0.15,0.3,15,15,0.1462059431311555,0.10316572760959802,0.17454537433989864,0.13657104429561864,0.3123604649737158,0.24699843348479192,0.6898910244384256,0.5982929053612873,3.0,3.0,29.43807522444407,21.756136585052765,24.460028740581507
cfg031,69,20,50,60,3,3,500,0.15,0.3,30,8,0.14620419333467896,0.1009524573338581,0.17454536027758621,0.13301805961092086,0.3220389554111587,0.24309700765411418,0.7403614688260426,0.6188688438918278,3.0,3.0,30.951052065404305,23.791695522941936,24.10620209831279
cfg032,69,20,50,60,3,3,500,0.15,0.3,30,15,0.1462059431311555,0.1009844838555958,0.17454537433989864,0.1332216882195961,0.31775740379016504,0.24319036951216066,0.6989932983317291,0.6073396356577901,3.0,3.0,30.929973369819407,23.675039385364293,24.1981653248997
cfg033,69,20,50,60,3,4,500,0.15,0.3,15,8,0.11308476996575324,0.07772860855085896,0.14710068214980843,0.11036779352024201,0.30604173319709804,0.2368307954825686,0.6992770909071907,0.6260319837979879,4.0,4.0,31.265184008068992,24.97125648415238,29.573106364038036
cfg034,69,20,50,60,3,4,500,0.15,0.3,15,15,0.1130848435824659,0.07772859888883499,0.14710069354838942,0.11036779351921905,0.30604213493790977,0.23683079548386568,0.6992766654579019,0.6260319847216569,4.0,4.0,31.265237297558578,24.97126229869673,29.573115117772463
cfg035,69,20,50,60,3,4,500,0.15,0.3,30,8,0.11308476996575324,0.07207341922213582,0.14710068214980843,0.10652941421543528,0.30357501595341463,0.2358270693089935,0.6970625995957574,0.6587219420548165,4.0,4.0,36.2660248201746,27.580611688159994,32.3441138272091
cfg036,69,20,50,60,3,4,500,0.15,0.3,30,15,0.1130848435824659,0.07221558556532681,0.14710069354838942,0.10652941421550811,0.3036326324899121,0.23582706930884723,0.6974479479164999,0.6587219420468536,4.0,4.0,36.1403497784702,27.580617299764942,32.21066116139972
